name,brand,price,Processor Brand,Processor Name,Processor Generation,processor clock speed,Number of Cores,SSD,drive capacity,RAM,Dedicated Graphic Memory Capacity,screen size,Screen Resolution,weight,speakers,touchscreen,microphone,webcam
"ASUS Ryzen 7 Quad Core 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 1650 4GB Graphics) G713IH-HX020T Gaming Laptop  (17.3 inch, Gray)",ASUS,82449,AMD,Ryzen 7 Quad Core,10th Gen,,,true,512.0,8,4 GB,17.3,2073600.0,,False,True,False,False
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K413EA-EB522WS Thin and Light Laptop  (14 inch, Indie Black, 1.40 kg, With MS Office)",ASUS,60990,Intel,Core i5,11th Gen,2.40,4.0,true,512.0,16,,14,2073600.0,1.40,True,True,True,True
"ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ521WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",ASUS,47990,Intel,Core i5,10th Gen,1.0,4.0,true,512.0,8,,15.6,2073600.0,1.80,True,True,True,True
"DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G15-5521 SE Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 kg, With MS Office)",DELL,138990,Intel,Core i7,12th Gen,3.5,14.0,true,1000.0,16,6 GB,15.6,3686400.0,2.57,True,True,True,True
"DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)",DELL,87990,Intel,Core i5,12th Gen,3.3,12.0,true,512.0,16,4 GB,15.6,2073600.0,2.57,True,True,True,True
"DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)",DELL,127990,Intel,Core i7,12th Gen,3.5,14.0,true,512.0,16,6 GB,15.6,2073600.0,2.57,True,True,True,True
"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) X515EA-BR312TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",ASUS,36990,Intel,Core i3,11th Gen,3.00,2.0,true,256.0,8,,15.6,1049088.0,1.80,True,True,True,True
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office)",DELL,74490,Intel,Core i5,11th Gen,2.6,8.0,true,512.0,16,4 GB,15.6,2073600.0,2.65,True,True,True,True
"DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5521 SE Gaming Laptop  (15.6 Inch, Obsidian Black, 2.57 kg, With MS Office)",DELL,117490,Intel,Core i7,12th Gen,3.5,14.0,true,1000.0,16,4 GB,15.6,2073600.0,2.57,True,True,True,True
"DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5520 Gaming Laptop  (15.6 Inch, Dark Shadow Grey, 2.57 kg, With MS Office)",DELL,104990,Intel,Core i7,12th Gen,3.5,14.0,true,512.0,16,4 GB,15.6,2073600.0,2.57,True,True,True,True
"DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office)",DELL,69490,Intel,Core i5,11th Gen,2.6,8.0,true,512.0,8,4 GB,15.6,2073600.0,2.65,True,True,True,True
"acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.65 kg, With MS Office)",acer,49990,Intel,Core i5,11th Gen,2.40,4.0,true,512.0,8,,15.6,2073600.0,1.65,True,True,True,True
"ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 kg, With MS Office)",ASUS,50990,Intel,Core i3,11th Gen,1.7,2.0,true,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
"ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg)",ASUS,30990,Intel,Core i3,10th Gen,1.2,2.0,false,1000.0,8,,15.6,2073600.0,1.80,True,True,True,True
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) K513EA-L513WS Laptop  (15.6 inch, Silver, With MS Office)",ASUS,67949,Intel,Core i5,11th Gen,,,true,512.0,16,,15.6,2073600.0,,False,True,False,False
"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 15s-du3519TX Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)",HP,64990,Intel,Core i5,11th Gen,4.2,4.0,true,512.0,8,2 GB,15.6,2073600.0,1.75,True,True,True,True
"HP Pavilion Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1008AU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",HP,71999,AMD,Ryzen 7 Octa Core,,2.0,8.0,true,512.0,16,,14,2073600.0,1.41,True,True,True,True
"HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",HP,62900,AMD,Ryzen 5 Hexa Core,,2.4,6.0,true,512.0,16,,14,2073600.0,1.41,True,True,True,True
"ASUS Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX RTX3050-4G) FX516PCZ-HN090T Gaming Laptop  (15.6 inch, White)",ASUS,78900,Intel,Core i5,11th Gen,,,true,1000.0,8,4 GB,15.6,2073600.0,,False,True,False,False
"acer Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) TMB311-31 Notebook  (11.6 Inch, Black, 1.4 Kg)",acer,24990,Intel,Celeron Dual Core,,2.80,2.0,true,256.0,4,,11.6,1049088.0,1.4,True,True,True,True
"acer Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) TMB311-31 Notebook  (11.6 Inch, Black, 1.4 Kg)",acer,23990,Intel,Celeron Dual Core,,2.80,2.0,true,128.0,4,,11.6,1049088.0,1.4,True,True,True,True
"acer Nitro 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) AN515-57 Gaming Laptop  (15.6 inch, Shale Black, 2.2 kg)",acer,64990,Intel,Core i5,11th Gen,2.70,6.0,true,512.0,8,4 GB,15.6,2073600.0,2.2,True,True,True,True
"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)",ASUS,25990,Intel,Celeron Dual Core,,1.1,2.0,true,256.0,4,,14,1049088.0,1.60,True,True,True,True
