brand,price,processor brand,processor number,processor year,processor clock speed,processor core count,SSD,drive capacity,RAM,GPU memory,screen size,pixel count,weight,speakers,touchscreen,microphone,webcam
ASUS,21990,Intel,1,,2.8,2.0,False,,4,,11.6,1049088.0,1.05,True,True,True,True
ASUS,31990,Intel,1,,3.3,4.0,True,256.0,8,,14,1049088.0,1.30,True,True,True,True
ASUS,114990,Intel,5,2020.0,2.40,4.0,True,512.0,16,2.0,14,2073600.0,1.62,True,True,True,True
ASUS,114990,AMD,7,,4.7,8.0,True,1024.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,301990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,16.0,15.6,3686400.0,2.30,True,True,True,False
ASUS,113990,AMD,7,,4.7,8.0,True,512.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
Infinix,50990,Intel,7,2019.0,1.3,4.0,True,512.0,16,0.12,14,2073600.0,1.48,True,True,True,True
ASUS,108990,AMD,7,,4.7,8.0,True,512.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,114990,AMD,7,,4.7,8.0,True,1024.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
Infinix,50990,Intel,7,2019.0,1.3,4.0,True,512.0,16,0.12,14,2073600.0,1.48,True,True,True,True
ASUS,264990,Intel,9,2021.0,2.5,14.0,True,2048.0,32,16.0,15.6,3686400.0,2.30,True,True,True,False
ASUS,99990,AMD,9,,3.3,8.0,True,1024.0,16,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,116500,AMD,9,,3.3,8.0,True,1024.0,8,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,99990,AMD,9,,4.6,8.0,True,1024.0,8,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,162990,AMD,9,,3.3,8.0,True,1024.0,16,4.0,16,9216000.0,1.95,True,True,True,True
ASUS,79990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,13.3,2073600.0,1.14,True,True,True,True
ASUS,134990,AMD,9,,4.6,8.0,True,1024.0,16,,14,5184000.0,1.40,True,True,True,True
ASUS,49990,Intel,5,2020.0,2.40,4.0,True,256.0,8,,14,2073600.0,1.60,True,True,True,True
ASUS,94990,Intel,7,2020.0,4.7,4.0,True,1024.0,16,,13.3,2073600.0,1.14,True,True,True,True
DELL,40990,Intel,3,2019.0,3.4,,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
ASUS,69990,Intel,5,2020.0,4.2,4.0,True,512.0,8,,13.3,2073600.0,1.14,True,True,True,True
ASUS,35990,Intel,3,2020.0,4.1,2.0,True,256.0,8,,14,2073600.0,1.60,True,True,True,True
DELL,52632,AMD,3,,2.6,2.0,False,1024.0,8,,15.6,2073600.0,1.8,True,True,True,True
HP,33999,Intel,1,,1.1,4.0,True,256.0,8,,14,1049088.0,1.46,True,True,True,True
ASUS,79990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,13.3,2073600.0,1.14,True,True,True,True
ASUS,89990,Intel,7,2020.0,4.7,4.0,True,512.0,16,,13.3,2073600.0,1.14,True,True,True,True
ASUS,114900,AMD,7,,4.4,8.0,True,1024.0,16,,14,5184000.0,1.40,True,True,True,True
DELL,41999,Intel,3,2020.0,4.1,2.0,True,256.0,8,,14,2073600.0,1.59,True,True,True,True
